timestamp,type,field1,field2,field3
1749670636.8814158,FRAME,h=0.595,v=0.675,blink=False
1749670637.039666,FRAME,h=0.584,v=0.660,blink=False
1749670637.039666,H-JITTER,amp=0.011,vel=-0.069,dt=0.158
1749670637.039666,V-JITTER,amp=0.016,vel=-0.101,dt=0.158
1749670637.171882,FRAME,h=0.588,v=0.772,blink=False
1749670637.171882,V-SACCADE,amp=0.113,vel=0.853,dt=0.132
1749670637.30238,FRAME,h=0.593,v=0.843,blink=False
1749670637.30238,V-SACCADE,amp=0.071,vel=0.544,dt=0.130
1749670637.712497,FRAME,h=0.697,v=0.500,blink=False
1749670637.712497,H-JITTER,amp=0.104,vel=0.252,dt=0.410
1749670637.712497,V-SACCADE,amp=0.343,vel=-0.837,dt=0.410
1749670638.3733408,FRAME,h=0.595,v=0.539,blink=False
1749670638.3733408,H-JITTER,amp=0.102,vel=-0.154,dt=0.661
1749670638.3733408,V-JITTER,amp=0.039,vel=0.059,dt=0.661
1749670638.512813,FRAME,h=0.603,v=0.580,blink=False
1749670638.512813,H-JITTER,amp=0.008,vel=0.058,dt=0.139
1749670638.512813,V-JITTER,amp=0.041,vel=0.293,dt=0.139
1749670638.643285,FRAME,h=0.605,v=0.617,blink=False
1749670638.643285,V-JITTER,amp=0.037,vel=0.282,dt=0.130
1749670638.7770119,FRAME,h=0.595,v=0.604,blink=False
1749670638.7770119,H-JITTER,amp=0.010,vel=-0.073,dt=0.134
1749670638.7770119,V-JITTER,amp=0.013,vel=-0.095,dt=0.134
1749670638.9122849,FRAME,h=0.590,v=0.540,blink=False
1749670638.9122849,V-JITTER,amp=0.064,vel=-0.474,dt=0.135
1749670639.045952,FRAME,h=0.459,v=0.384,blink=False
1749670639.045952,H-SACCADE,amp=0.131,vel=-0.980,dt=0.134
1749670639.045952,V-SACCADE,amp=0.156,vel=-1.170,dt=0.134
1749670639.178451,FRAME,h=0.441,v=0.412,blink=False
1749670639.178451,H-JITTER,amp=0.018,vel=-0.137,dt=0.132
1749670639.178451,V-JITTER,amp=0.028,vel=0.213,dt=0.132
1749670639.312777,FRAME,h=0.493,v=0.433,blink=False
1749670639.312777,H-JITTER,amp=0.051,vel=0.383,dt=0.134
1749670639.312777,V-JITTER,amp=0.022,vel=0.160,dt=0.134
1749670639.443051,FRAME,h=0.583,v=0.625,blink=False
1749670639.443051,H-SACCADE,amp=0.091,vel=0.696,dt=0.130
1749670639.443051,V-SACCADE,amp=0.192,vel=1.471,dt=0.130
1749670639.581256,FRAME,h=0.564,v=0.608,blink=False
